ANIO|AVALOR|ALCALDIA|VALOR|ADD
2026|A080242|08|2030.17|A
2026|A080252|08|2356.64|A
2026|A090013|09|1828.96|A
2026|A090022|09|2908.57|A
2026|A090032|09|3253.82|A
2026|A090042|09|1616.62|A
2026|A090051|09|985.45|A
2026|A090062|09|1759.57|A
2026|A090072|09|2171.21|A
2026|A090082|09|1859.60|A
2026|A090092|09|2247.36|A
2026|A090104|09|3333.92|A
2026|A090113|09|3404.87|A
2026|A090123|09|2859.48|A
2026|A090132|09|2891.07|A
2026|A090141|09|1254.79|A
2026|A090153|09|3624.34|A
2026|A090162|09|1799.88|A
2026|A090172|09|1153.37|A
2026|A090187|09|3553.34|A
2026|A090192|09|1592.42|A
2026|A090203|09|3327.43|A
2026|A090212|09|1434.98|A
2026|A090221|09|2085.38|A
2026|A090233|09|3164.26|A
2026|A090243|09|3172.25|A
2026|A090251|09|1138.93|A
2026|A090261|09|1472.16|A
2026|A090273|09|4078.78|A
2026|A090283|09|2459.62|A
2026|A090292|09|1502.60|A
2026|A090302|09|1241.84|A
2026|A090312|09|1362.22|A
2026|A090322|09|2215.35|A
2026|A090332|09|1984.48|A
2026|A090343|09|3670.41|A
2026|A090353|09|3645.69|A
2026|A090363|09|2943.09|A
2026|A090373|09|2744.98|A
2026|A090382|09|1970.51|A
2026|A090393|09|2717.99|A
2026|A090402|09|2302.71|A
2026|A090411|09|927.70|A
2026|A090420|09|607.84|A
2026|A090432|09|2403.64|A
2026|A090442|09|3074.74|A
2026|A090453|09|3075.10|A
2026|A090462|09|1676.91|A
2026|A090472|09|2069.19|A
2026|A090481|09|1420.73|A
2026|A090492|09|2511.38|A
2026|A090501|09|594.97|A
2026|A090511|09|1260.26|A
2026|A090521|09|1016.96|A
2026|A090532|09|2649.47|A
2026|A090542|09|2622.61|A
2026|A090552|09|2448.81|A
2026|A090562|09|2836.84|A
2026|A090572|09|2222.14|A
2026|A090582|09|1388.20|A
2026|A090592|09|2184.98|A
2026|A090602|09|2421.04|A
2026|A090614|09|4512.23|A
2026|A090621|09|1692.04|A
2026|A090632|09|2354.96|A
2026|A090642|09|2887.61|A
2026|A090652|09|1326.17|A
2026|A090662|09|1865.79|A
2026|A090672|09|2022.69|A
2026|A090682|09|1639.79|A
2026|A090693|09|3759.54|A
2026|A090701|09|898.49|A
2026|A090712|09|1923.96|A
2026|A090722|09|3165.38|A
2026|A090732|09|2134.51|A
2026|A090748|09|2583.77|A
2026|A090752|09|1574.06|A
2026|A090761|09|1036.25|A
2026|A090771|09|1013.07|A
2026|A090782|09|2965.76|A
2026|A090792|09|2966.32|A
2026|A090803|09|3873.55|A
2026|A090812|09|2132.24|A
2026|A090822|09|2092.81|A
2026|A090831|09|1207.65|A
2026|A090847|09|2162.85|A
2026|A090852|09|2880.96|A
2026|A090869|09|252.62|A
2026|A090871|09|860.82|A
2026|A090883|09|4584.38|A
2026|A090891|09|829.03|A
2026|A090901|09|709.42|A
2026|A090912|09|2324.19|A
2026|A090922|09|1935.74|A
2026|A100011|10|1310.26|A
2026|A100022|10|2311.01|A
2026|A100032|10|1697.31|A
2026|A100043|10|3730.42|A
2026|A100051|10|918.52|A
2026|A100060|10|1110.33|A
2026|A100072|10|2747.56|A
2026|A100082|10|1404.69|A
2026|A100094|10|4991.13|A
2026|A100102|10|1676.73|A
2026|A100111|10|969.18|A
2026|A100122|10|1952.85|A
2026|A100131|10|956.45|A
2026|A100141|10|1831.13|A
2026|A100151|10|824.67|A
2026|A100163|10|2539.77|A
2026|A100172|10|1623.56|A
2026|A100182|10|2767.42|A
2026|A100191|10|993.71|A
2026|A100202|10|1409.02|A
2026|A100212|10|1707.01|A
2026|A100223|10|2620.26|A
2026|A100233|10|4537.26|A
2026|A100245|10|6109.92|A
2026|A100251|10|1535.65|A
2026|A100261|10|671.11|A
2026|A100273|10|4457.48|A
2026|A100289|10|222.97|A
2026|A100299|10|113.37|A
2026|A100302|10|2397.66|A
2026|A100312|10|2736.67|A
2026|A100322|10|2480.85|A
2026|A100331|10|1107.92|A
2026|A100349|10|255.39|A
2026|A110013|11|3750.28|A
2026|A110023|11|3403.58|A
2026|A110037|11|5675.88|A
2026|A110047|11|8862.38|A
2026|A110052|11|3719.78|A
2026|A110063|11|3052.26|A
2026|A110072|11|3417.58|A
2026|A110082|11|2709.35|A
2026|A110096|11|13378.65|A
2026|A110108|11|2513.41|A
2026|A110113|11|4611.63|A
2026|A110126|11|22086.42|A
